epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3617,1.42159,1.59977,1.00134,0.98608,0.98223,0.99417,0.74253,0.92485,0.73106,0.9266,0.000665814,0.000665814,0.000665814
2,128.454,1.16346,0.94815,0.90409,0.98131,0.98223,0.99335,0.73542,0.91354,0.69959,0.90706,0.00124454,0.00124454,0.00124454
3,189.294,1.14987,0.7846,0.90996,0.98469,0.97945,0.99373,0.71014,0.93585,0.6012,0.89346,0.00173526,0.00173526,0.00173526
4,248.926,1.07699,0.68499,0.87782,0.97513,0.98731,0.98498,0.71069,0.90614,0.60169,0.87556,0.001604,0.001604,0.001604
5,310.238,1.02272,0.63118,0.87763,0.99447,0.98985,0.99462,0.77811,0.82703,0.53911,0.86354,0.001472,0.001472,0.001472
6,387.527,1.01388,0.61366,0.87926,0.96852,0.98223,0.99152,0.75354,0.84378,0.53876,0.88233,0.00134,0.00134,0.00134
7,447.046,0.93516,0.56422,0.86575,0.99377,0.99239,0.99495,0.77975,0.77695,0.48249,0.84264,0.001208,0.001208,0.001208
8,507.896,0.9246,0.56167,0.86568,0.99232,0.9835,0.99436,0.77476,0.78892,0.46864,0.85491,0.001076,0.001076,0.001076
9,570.688,0.90811,0.53234,0.85278,0.99662,0.99239,0.99497,0.79796,0.75613,0.45223,0.83877,0.000944,0.000944,0.000944
10,631.255,0.86469,0.50046,0.83987,0.99745,0.99218,0.99495,0.80694,0.76252,0.44464,0.8353,0.000812,0.000812,0.000812
11,691.488,0.84558,0.49606,0.83789,0.99658,0.99239,0.99497,0.79904,0.74754,0.45112,0.83763,0.00068,0.00068,0.00068
12,751.542,0.80545,0.4783,0.8276,0.99448,0.98985,0.99485,0.8317,0.68531,0.41308,0.82601,0.000548,0.000548,0.000548
13,819.152,0.79385,0.46402,0.82199,0.99745,0.99219,0.99497,0.81479,0.70957,0.4196,0.82458,0.000416,0.000416,0.000416
14,888.47,0.78089,0.45332,0.82035,0.99715,0.99239,0.99497,0.84697,0.63749,0.39938,0.81849,0.000284,0.000284,0.000284
15,951.291,0.73369,0.43723,0.81662,0.99718,0.99239,0.99497,0.84666,0.64076,0.38481,0.8188,0.000152,0.000152,0.000152
